station;2012;2013;2014;2015;2016;2017;stof;afkorting
NL01484;-;-;3.101;1.76;1.788;1.698;benzeen;none
NL01485;0.846;0.577;1.117;0.617;0.865;0.505;benzeen;none
NL49703;0.589;0.729;0.687;0.545;0.568;0.642;benzeen;none
NL01483;-;1.38;0.613;1.171;-;-;benzeen;none
NL49704;0.911;1.056;1.149;0.944;0.849;0.715;benzeen;none
NL49546;0.527;0.663;0.82;0.821;0.766;0.615;benzeen;none
NL01494;1.15;1.019;1.129;1.024;0.951;0.785;benzeen;none
NL49017;0.87;1.329;0.782;0.821;1.131;1.197;benzeen;none
NL01496;-;0.608;0.769;0.756;1.005;0.721;benzeen;none
NL01495;-;0.972;0.845;1.279;0.815;0.618;benzeen;none
