station;2012;2013;2014;2015;2016;2017;stof;afkorting
NL49014;334.891;319.56;244.509;255.252;279.409;243.89;koolmonoxide;CO
NL10742;310.104;277.595;272.542;-;282.638;278.129;koolmonoxide;CO
NL01491;368.698;381.758;372.439;321.326;209.0;-;koolmonoxide;CO
NL01488;328.418;263.51;274.062;353.622;311.236;-;koolmonoxide;CO
NL10741;410.162;393.385;377.946;344.28;368.224;349.941;koolmonoxide;CO
NL49007;399.762;349.168;343.856;317.99;403.564;343.048;koolmonoxide;CO
NL49551;381.068;352.453;323.63;326.692;347.873;306.721;koolmonoxide;CO
NL01493;394.076;-;-;-;-;-;koolmonoxide;CO
NL10633;226.78;219.205;214.205;222.357;-;-;koolmonoxide;CO
NL49553;332.686;345.547;339.313;306.291;325.574;279.452;koolmonoxide;CO
NL01487;442.116;408.547;431.417;467.105;507.153;-;koolmonoxide;CO
NL49012;399.605;380.463;368.791;333.566;339.655;368.589;koolmonoxide;CO
NL10644;-;189.926;186.175;176.135;217.998;215.716;koolmonoxide;CO
NL49561;346.851;350.467;339.215;302.719;277.592;242.487;koolmonoxide;CO
