station;2012;2013;2014;2015;2016;2017;stof;afkorting
NL10411;40.691;-;-;-;-;-;ozon;O3
NL10742;39.039;43.51;41.943;43.98;41.259;42.714;ozon;O3
NL10738;45.326;46.712;42.499;47.783;42.212;43.272;ozon;O3
NL10446;-;43.575;43.4;43.835;41.801;44.289;ozon;O3
NL01485;39.53;39.004;41.898;41.915;39.291;40.003;ozon;O3
NL10137;43.185;46.24;-;-;-;-;ozon;O3
NL10442;43.253;43.908;44.121;44.796;41.78;42.417;ozon;O3
NL10929;45.141;48.879;44.277;49.589;45.835;47.267;ozon;O3
NL10444;47.875;51.291;50.065;53.015;49.472;52.254;ozon;O3
NL10631;42.735;47.221;45.151;47.73;41.122;-;ozon;O3
NL10636;-;-;-;-;-;37.533;ozon;O3
NL01496;45.22;45.734;45.244;46.091;43.342;43.92;ozon;O3
NL10418;38.136;40.248;40.445;42.216;39.977;38.159;ozon;O3
NL01495;39.336;38.065;42.016;39.015;36.968;37.195;ozon;O3
NL10138;-;-;45.034;48.037;46.195;48.819;ozon;O3
NL10404;44.822;46.064;46.863;49.434;47.402;48.909;ozon;O3
NL10301;49.21;50.382;49.174;49.873;48.154;51.762;ozon;O3
NL10934;51.224;53.449;50.189;52.109;47.675;49.295;ozon;O3
NL01494;36.5;36.082;36.672;40.602;36.897;38.57;ozon;O3
NL10520;37.974;-;-;-;-;-;ozon;O3
NL49564;41.852;44.911;42.776;45.578;42.371;45.879;ozon;O3
NL01489;28.791;32.964;30.546;31.961;30.858;32.769;ozon;O3
NL49012;35.326;39.459;38.139;40.581;37.096;38.232;ozon;O3
NL10617;-;-;-;-;44.599;46.429;ozon;O3
NL01493;34.916;34.651;32.57;34.847;32.254;34.129;ozon;O3
NL10633;41.167;45.309;44.754;46.893;42.381;41.697;ozon;O3
NL10918;51.646;52.141;50.584;54.565;51.197;49.589;ozon;O3
NL10433;32.475;35.067;33.542;37.711;36.811;37.624;ozon;O3
NL10644;41.86;42.571;41.46;44.552;41.636;42.991;ozon;O3
NL10247;40.132;42.48;44.281;44.829;40.334;40.551;ozon;O3
NL10107;42.979;43.194;43.215;46.417;41.929;42.637;ozon;O3
NL10133;39.971;42.479;41.456;44.652;39.478;42.54;ozon;O3
NL10639;30.003;38.347;36.616;40.24;37.182;37.799;ozon;O3
NL10722;43.2;44.042;39.711;42.484;40.444;40.88;ozon;O3
NL10641;32.164;35.472;35.732;37.808;33.153;35.232;ozon;O3
NL10230;40.984;41.814;39.807;44.209;41.035;41.008;ozon;O3
NL10550;-;-;-;42.838;41.568;42.939;ozon;O3
NL10241;39.504;42.137;42.336;44.105;40.975;42.51;ozon;O3
NL10227;44.105;-;-;-;-;-;ozon;O3
NL10235;39.33;40.998;39.166;42.679;41.238;42.55;ozon;O3
NL10807;44.193;48.477;43.965;43.899;43.734;46.613;ozon;O3
NL49014;36.421;43.862;43.533;45.341;42.298;44.751;ozon;O3
NL10938;46.735;50.677;47.162;48.871;48.265;49.974;ozon;O3
NL10538;50.345;51.4;48.49;50.624;50.709;50.79;ozon;O3
NL10236;36.247;41.196;38.858;42.285;41.181;39.961;ozon;O3
NL10643;39.847;44.611;39.449;43.516;41.448;39.951;ozon;O3
NL10818;45.074;49.545;46.952;49.908;46.325;48.487;ozon;O3
NL49003;37.698;44.998;41.775;44.213;42.26;41.636;ozon;O3
NL10318;43.833;45.076;46.393;47.836;45.693;46.222;ozon;O3
NL10131;41.353;41.932;41.058;46.018;43.722;43.224;ozon;O3
NL10437;41.571;42.286;43.886;44.817;41.567;43.729;ozon;O3
NL10537;35.704;35.312;37.012;-;-;-;ozon;O3
