station;2012;2013;2014;2015;2016;2017;stof;afkorting
NL10247;-;-;-;-;7.027;5.429;roet;BC
NL10237;-;-;-;-;7.123;6.306;roet;BC
NL49701;-;-;-;-;6.722;5.352;roet;BC
NL10641;-;-;-;-;5.813;5.184;roet;BC
NL49014;7.261;3.809;3.703;3.32;5.071;3.94;roet;BC
NL10742;-;-;-;-;6.217;5.233;roet;BC
NL10741;-;-;-;-;7.287;6.022;roet;BC
NL10821;-;-;-;-;7.68;5.55;roet;BC
NL10929;-;-;-;-;7.273;4.946;roet;BC
NL49551;-;-;-;-;-;4.369;roet;BC
NL10444;-;-;-;-;6.211;4.907;roet;BC
NL49553;-;-;-;-;-;5.189;roet;BC
NL10807;-;-;-;-;7.285;5.234;roet;BC
NL01496;6.674;5.821;4.345;4.097;6.021;4.696;roet;BC
NL10938;-;-;-;-;5.692;4.492;roet;BC
NL10138;-;-;-;-;6.82;4.834;roet;BC
NL49017;7.382;5.207;5.568;5.027;6.361;5.525;roet;BC
NL01492;5.818;6.0;5.416;6.266;6.795;5.65;roet;BC
NL01491;-;7.304;5.992;5.459;8.218;6.839;roet;BC
NL01494;5.764;6.118;5.984;5.829;8.482;5.585;roet;BC
NL01488;5.195;5.145;4.212;4.383;6.822;5.306;roet;BC
NL49003;7.172;3.984;4.013;4.498;6.163;5.525;roet;BC
NL49012;7.811;5.442;4.914;5.808;7.047;5.4;roet;BC
NL49007;8.793;7.323;6.859;7.549;7.893;7.314;roet;BC
NL01493;-;-;-;-;-;7.739;roet;BC
NL10633;-;-;-;-;6.28;5.188;roet;BC
NL49020;-;-;4.154;6.825;7.232;6.228;roet;BC
NL01487;7.978;8.297;7.039;6.715;9.628;7.985;roet;BC
NL01483;8.617;10.471;7.105;7.02;-;-;roet;BC
NL10131;-;-;-;-;5.302;4.386;roet;BC
