station;2012;2013;2014;2015;2016;2017;stof;afkorting
NL10741;37.369;35.515;34.025;32.824;33.449;32.143;stikstofdioxide;CO2
NL10411;36.593;-;-;-;-;-;stikstofdioxide;CO2
NL10442;25.844;24.861;23.36;22.76;22.797;22.949;stikstofdioxide;CO2
NL49002;59.065;52.531;55.922;49.076;48.501;48.435;stikstofdioxide;CO2
NL10738;17.033;16.443;15.753;14.698;14.975;15.202;stikstofdioxide;CO2
NL10446;-;29.745;28.781;28.077;27.46;26.872;stikstofdioxide;CO2
NL10520;31.671;-;-;-;-;-;stikstofdioxide;CO2
NL49003;25.259;21.118;22.006;21.925;23.887;23.94;stikstofdioxide;CO2
NL49017;41.427;39.796;37.212;37.122;36.23;35.125;stikstofdioxide;CO2
NL10137;23.26;22.637;-;-;-;-;stikstofdioxide;CO2
NL49553;22.187;28.428;21.467;19.557;20.412;19.166;stikstofdioxide;CO2
NL49012;41.592;37.005;38.078;36.486;36.702;35.466;stikstofdioxide;CO2
NL10742;24.847;23.614;22.383;22.46;22.625;22.795;stikstofdioxide;CO2
NL49551;28.826;26.993;26.728;24.694;27.527;26.498;stikstofdioxide;CO2
NL49704;25.433;22.919;26.086;24.445;27.406;26.338;stikstofdioxide;CO2
NL49703;21.28;20.513;20.807;19.268;20.316;19.757;stikstofdioxide;CO2
NL10807;13.273;12.469;12.208;11.304;12.474;12.135;stikstofdioxide;CO2
NL10631;14.302;12.969;12.701;12.665;-;-;stikstofdioxide;CO2
NL10636;32.766;29.337;28.63;27.78;28.183;28.526;stikstofdioxide;CO2
NL01496;29.939;29.134;29.61;28.215;28.974;28.6;stikstofdioxide;CO2
NL10929;11.736;10.845;11.57;10.145;10.707;10.437;stikstofdioxide;CO2
NL10418;34.491;32.137;31.541;31.286;30.704;31.6;stikstofdioxide;CO2
NL01485;30.547;30.728;28.369;26.719;27.583;26.898;stikstofdioxide;CO2
NL10138;-;-;16.889;17.02;17.954;16.922;stikstofdioxide;CO2
NL10404;27.539;27.658;28.83;23.582;24.898;24.364;stikstofdioxide;CO2
NL10301;16.969;17.0;16.258;14.704;15.821;14.803;stikstofdioxide;CO2
NL49022;23.911;22.008;22.929;21.221;21.883;21.578;stikstofdioxide;CO2
NL01491;45.041;42.927;40.741;39.704;38.041;37.75;stikstofdioxide;CO2
NL01494;35.633;34.365;33.636;32.638;32.799;31.272;stikstofdioxide;CO2
NL01486;34.67;34.834;33.154;32.207;-;-;stikstofdioxide;CO2
NL10240;-;32.123;32.842;31.91;33.952;33.323;stikstofdioxide;CO2
NL01489;45.856;38.663;40.151;38.654;37.585;37.989;stikstofdioxide;CO2
NL10617;-;-;-;-;14.367;13.337;stikstofdioxide;CO2
NL49007;54.85;52.929;51.683;45.677;48.103;43.76;stikstofdioxide;CO2
NL01493;46.158;43.875;44.404;43.731;44.629;44.26;stikstofdioxide;CO2
NL10633;17.577;16.516;16.018;15.05;18.856;16.05;stikstofdioxide;CO2
