station;2012;2013;2014;2015;2016;2017;stof;afkorting
NL10741;24.258;21.948;19.281;18.716;22.047;18.063;stikstofmonoxide;NO
NL10411;10.843;-;-;-;-;-;stikstofmonoxide;NO
NL10442;7.402;6.911;6.283;5.706;7.285;6.744;stikstofmonoxide;NO
NL49002;52.634;45.143;52.727;50.426;50.866;50.26;stikstofmonoxide;NO
NL10738;4.349;3.463;3.544;2.932;4.037;2.865;stikstofmonoxide;NO
NL10446;-;9.235;8.9;8.431;10.473;8.072;stikstofmonoxide;NO
NL10520;10.513;-;-;-;-;-;stikstofmonoxide;NO
NL49003;5.697;3.926;4.808;4.482;6.556;5.014;stikstofmonoxide;NO
NL49017;21.34;21.303;18.355;19.085;22.271;20.515;stikstofmonoxide;NO
NL10137;6.054;5.507;-;-;-;-;stikstofmonoxide;NO
NL49553;8.061;5.843;6.905;7.146;7.293;6.222;stikstofmonoxide;NO
NL49012;23.515;19.403;19.796;21.362;22.87;17.348;stikstofmonoxide;NO
NL10742;6.069;4.946;4.887;4.695;6.278;4.908;stikstofmonoxide;NO
NL49551;9.864;9.464;7.862;7.587;9.833;8.44;stikstofmonoxide;NO
NL49704;11.672;9.256;10.809;10.109;12.481;10.16;stikstofmonoxide;NO
NL49703;5.412;4.814;4.993;4.454;6.156;4.64;stikstofmonoxide;NO
NL10807;2.275;2.083;2.299;1.929;2.469;1.511;stikstofmonoxide;NO
NL10631;2.805;2.487;2.046;2.619;-;-;stikstofmonoxide;NO
NL10636;16.099;12.374;12.039;10.786;13.875;11.654;stikstofmonoxide;NO
NL01496;14.502;12.599;12.544;12.05;13.549;13.01;stikstofmonoxide;NO
NL10929;1.717;1.276;1.939;1.365;1.615;1.44;stikstofmonoxide;NO
NL10418;11.599;8.992;8.926;8.263;10.367;9.206;stikstofmonoxide;NO
NL01485;10.659;10.173;9.059;8.295;9.769;8.094;stikstofmonoxide;NO
NL10138;-;-;4.204;4.049;5.3;3.494;stikstofmonoxide;NO
NL10404;7.067;7.288;7.302;5.475;7.699;5.825;stikstofmonoxide;NO
