station;2012;2013;2014;2015;2016;2017;stof;afkorting
NL01484;-;-;28.891;16.093;94.655;30.178;tolueen;none
NL01485;8.182;5.754;7.482;5.614;10.913;8.966;tolueen;none
NL49703;12.0;10.25;19.913;7.857;8.637;14.325;tolueen;none
NL01483;-;12.486;9.876;6.782;-;-;tolueen;none
NL49704;17.171;17.048;21.97;11.046;11.55;18.125;tolueen;none
NL49546;10.025;9.867;8.162;10.796;8.291;19.745;tolueen;none
NL01494;7.217;6.472;13.818;10.057;12.863;9.777;tolueen;none
NL49017;11.072;11.648;11.13;15.817;7.556;9.445;tolueen;none
NL01496;-;9.22;4.13;4.8;3.707;3.608;tolueen;none
NL01495;-;7.004;7.699;8.523;21.968;10.69;tolueen;none
