station;2012;2013;2014;2015;2016;2017;stof;afkorting
NL01484;8.547;7.64;10.543;10.69;8.381;7.12;zwaveldioxide;SO2
NL01485;6.4;6.372;4.993;4.219;6.787;4.661;zwaveldioxide;SO2
NL10133;1.065;1.092;0.892;0.996;0.8;-;zwaveldioxide;SO2
NL10934;0.489;0.5;0.684;0.418;0.363;0.359;zwaveldioxide;SO2
NL10722;0.923;0.753;0.854;0.871;0.934;0.619;zwaveldioxide;SO2
NL01494;4.862;4.313;4.609;4.408;3.977;-;zwaveldioxide;SO2
NL01486;5.599;3.496;7.27;6.128;-;-;zwaveldioxide;SO2
NL01495;6.347;4.881;7.659;3.954;2.988;3.235;zwaveldioxide;SO2
NL49553;3.752;3.364;4.711;4.391;3.665;4.454;zwaveldioxide;SO2
NL10318;1.309;1.56;1.867;0.967;0.988;0.825;zwaveldioxide;SO2
NL49551;4.92;5.338;4.971;3.413;3.547;3.896;zwaveldioxide;SO2
NL49704;2.377;1.922;2.354;1.67;1.252;1.181;zwaveldioxide;SO2
NL49016;1.735;1.333;1.349;1.147;0.899;0.918;zwaveldioxide;SO2
NL10416;4.72;-;-;-;-;-;zwaveldioxide;SO2
NL10444;1.408;1.299;1.668;1.144;0.992;0.97;zwaveldioxide;SO2
NL01496;7.118;6.535;7.089;6.359;5.246;3.498;zwaveldioxide;SO2
NL10644;-;1.176;1.153;0.811;0.644;0.391;zwaveldioxide;SO2
