station;plaats;straat;soort
NL01483;Rotterdam;Botlek A15;Verkeers belast
NL01485;Rotterdam;Hoogvliet;Regionaal
NL01486;Rotterdam;Pernis;Industrieel belast
NL01487;Rotterdam;Pleinweg;Verkeers belast
NL01487;Rotterdam;Pleinweg;Verkeers belast
NL01488;Rotterdam;Zwartewaalstraat;Regionaal
NL01488;Rotterdam;Zwartewaalstraat;Regionaal
NL01489;Ridderkerk;A16;Verkeers belast
NL01491;Overschie;A13;Verkeers belast
NL01493;Rotterdam;Statenweg;Verkeers belast
NL01493;Rotterdam;Statenweg;Verkeers belast
NL01494;Schiedam;A.Arienstraat;Stedelijk
NL01495;Maassluis;Kwartellaan;Regionaal
NL01496;HvHolland;Berghaven;Industrieel belast
NL01908;Alblasserdam;Ruigenhil;Regionaal
NL10107;Posterholt;Vlodropperweg;Regionaal
NL10131;Vredepeel;Vredeweg;Regionaal
NL10133;Wijnandsrade;Opfergeltstraat;Regionaal
NL10136;Heerlen;Looierstraat;Verkeers belast
NL10137;Heerlen;Deken Nicolayestraat;Stedelijk
NL10138;Heerlen;Jamboreepad;Stedelijk
NL10230;Breda;Tilburgseweg;Regionaal
NL10235;Huijbergen;Vennekenstraat;Regionaal
NL10236;Eindhoven;Genovevalaan;Verkeers belast
NL10237;Eindhoven;Noordbrabantlaan;Verkeers belast
NL10240;Budel;Toom;Regionaal
NL10241;Breda;Bastenakenstraat;Stedelijk
NL10243;De Rips;Blaarpeelweg;Overig
NL10244;De Rips;Klotterpeellaan;Overig
NL10246;Fijnaart;Zwingelspaansedijk;Regionaal
NL10247;Veldhoven;Europalaan;Stedelijk
NL10301;Zierikzee;Lange Slikweg;Regionaal
NL10318;Philippine;Stelleweg;Regionaal
NL10404;Den Haag;Rebecquestraat;Stedelijk
NL10411;Schipluiden;;Regionaal
NL10418;Rotterdam;Schiedamsevest;Regionaal
NL10433;Vlaardingen;Floreslaan;Regionaal
NL10437;Westmaas;Groeneweg;Regionaal
NL10442;Dordrecht;Bamendaweg;Stedelijk
NL10444;De Zilk;Vogelaarsdreef;Regionaal
NL10445;Den Haag;Amsterdamse Veerkade;Verkeers belast
NL10446;Den Haag;Bleriotlaan;Regionaal
NL10520;Amsterdam;Florapark;Stedelijk
NL10537;Haarlem;Amsterdamsevaart;Verkeers belast
NL10538;Wieringerwerf;Medemblikkerweg;Regionaal
NL10547;Hilversum;Johannes Geradtsweg;Regionaal
NL10549;Laren;Jagerspad;Regionaal
NL10550;Haarlem;Schipholweg;Verkeers belast
NL10617;Biest Houtakker;Biestsestraat;Regionaal
NL10631;Biddinghuizen;Hoekwantweg;Regionaal
NL10633;Zegveld;Oude Meije;Regionaal
NL10636;Utrecht;Kardinaal de Jongweg;Verkeers belast
NL10639;Utrecht;Constant Erzeijstraat;Regionaal
NL10641;Breukelen;A2;Verkeers belast
NL10643;Utrecht;Griftpark;Stedelijk
NL10644;Cabauw;Wielsekade;Regionaal
NL10722 ;Eibergen;Lintveldseweg;Regionaal
NL10738;Wekerom;Riemterdijk;Regionaal
NL10741;Nijmegen;Graafseweg;Verkeers belast
NL10742;Nijmegen;Ruyterstraat;Stedelijk
NL10807;Hellendoorn;Luttenbergerweg;Regionaal
NL10818;Barsbeek;De Veenen;Regionaal
NL10918;Balk;Trophornsterweg;Regionaal
NL10929;Valthermond;Noorderdiep;Regionaal
NL10934;Kollumerwaard;Hooge Zuidwal;Regionaal
NL10937;Groningen;Europaweg;Regionaal
NL10938;Groningen;Nijensteinheerd;Stedelijk
NL49002;Amsterdam;Haarlemmerweg;Verkeers belast
NL49003;Amsterdam;Nieuwendammerdijk;Stedelijk
NL49007;Amsterdam;Einsteinweg;Verkeers belast
NL49007;Amsterdam;Einsteinweg;Verkeers belast
NL49012;Amsterdam;Van Diemenstraat;Regionaal
NL49014;Amsterdam;Vondelpark;Stedelijk
NL49014;Amsterdam;Vondelpark;Stedelijk
NL49017;Amsterdam;Stadhouderskade;Verkeers belast
NL49019;Amsterdam;Oude Schans;Stedelijk
NL49020;Amsterdam;Jan van Galenstraat;Verkeers belast
NL49021;Amsterdam;Kantershof;Stedelijk
NL49022;Amsterdam;Ookmeer;Regionaal
NL49546;Zaanstad;Hemkade;Industrieel belast
NL49551;IJmuiden;Kanaalstraat;Industrieel belast
NL49553;Wijk aan Zee;De Banjaert;Industrieel belast
NL49561;Badhoevedorp;Sloterweg;Regionaal
NL49564;Hoofddorp;Hoofdweg;Regionaal
NL49565;Oude Meer;Aalsmeerderdijk;Regionaal
NL49701;Zaandam;Wagenschotpad;Stedelijk
NL49703;Spaarnwoude;Machineweg;Regionaal
NL49704;Zaanstad;Hoogtij;Industrieel belast
