,Buurtnaam,Buurtcode,age,house_type,edu,feeling_safe,nuisance,pop_density,offices,shops,facilities,horeca,creative,tourism,single_rate,water_perc,avg_income,home_value,perc_westers,perc_man,avg_pp_household,crime_index,party
0,Oosterdokseiland,3630400,1,2,2,1,1,0,1,0,0,1,0,1,1,2,1,1,1,1,0,1,GROENLINKS
1,Scheepvaarthuisbuurt,3630401,1,0,2,1,1,1,1,0,1,1,1,1,1,1,1,1,2,1,0,1,GROENLINKS
2,Lastage,3630403,2,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0,1,GROENLINKS
3,Waterloopleinbuurt,3630408,2,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0,1,GROENLINKS
4,Nieuwmarkt,3630404,2,0,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,0,1,GROENLINKS
5,Zuiderkerkbuurt,3630407,2,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0,1,GROENLINKS
6,Uilenburg,3630405,2,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,GROENLINKS
7,Valkenburg,3630406,2,0,2,1,1,1,1,0,1,1,1,1,1,1,1,1,2,1,0,1,GROENLINKS
8,Rapenburg,3630402,1,0,2,1,1,1,1,0,1,1,1,1,2,1,1,1,2,1,0,1,GROENLINKS
9,Kadijken,3630908,2,0,2,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,0,1,GROENLINKS
10,Kazernebuurt,3630907,2,0,2,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,GROENLINKS
11,Het Funen,3630905,2,2,2,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,GROENLINKS
12,Czaar Peterbuurt,3630904,1,0,2,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,GROENLINKS
13,Wittenburg,3630902,2,0,2,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,GROENLINKS
14,Oostenburg,3630903,2,0,2,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,GROENLINKS
15,Kattenburg,3630901,2,0,2,1,1,1,0,0,1,0,1,0,1,1,1,1,1,1,0,1,GROENLINKS
16,Marine-Etablissement,3630900,2,0,2,1,1,0,0,1,0,0,0,0,2,1,1,1,1,1,0,1,GROENLINKS
17,Stationsplein e.o.,3630100,2,0,2,1,2,1,0,1,0,1,0,1,2,1,1,1,2,0,0,2,GROENLINKS
